term,ranks,name,upc,id,artist,Total_Tracks
vultires,1,Shayef Taifek,5283023962943,2LIJNO9xyOP9VFuuLr4pGG,siilawy,1
vultires,2,SHADYXV,00602547130112,6wdSf72duVewXTqhYU3Z87,Various Artists,27
vultires,3,18+,196699143217,0L7bvFe35z44sjRcfVQKf3,"5urati, Sohrab Mj, Shayan Yo",1
vultires,4,Shayef El Bahr (El Oudal Menssiye),3615933644169,2zw0PFEHrP5TWyUhuPYFde,Fairuz,9
vultires,5,Pizza,5063535228276,0Kb9If1RugF6MCVSz5GxJH,"Mehrad Hidden, Shayea",6
Dark horse,1,Labrys,859722731651,02tSK4V3xJtjAmgyZkM3iG,LABRYS,7
Dark horse,2,Sin City Slowed,5063535513907,0RjvFG72jN7F9eqGrleEGH,scarlett2000,1
Dark horse,3,Misbehaving,886446751917,5fjHiq9unc4EnABB8VyfVc,Labrinth,1
Dark horse,4,Labyrinth,197047631868,7Kx1XsbpdbnCWBqy6zMZHl,4lienetic,1
Dark horse,5,Labyrinthine,5063292296808,4wNl2GkAdn8KfqcTjx7V6g,"Ardeal, Soothly",2
çıkmaz sokak,1,VULTURES 1,723277394381,0v9QGZDE2msGl8zAlXKP93,"�$, Kanye West, Ty Dolla $ign",15
çıkmaz sokak,2,Graduation,00602577027864,4SZko61aMnmgvNhfhgTuD3,Kanye West,14
çıkmaz sokak,3,The Vultures,198665981946,0Cr537aMzrf8hXQiYy7lEn,KunasAce,2
çıkmaz sokak,4,ye,00602577303111,2Ek1q2haOnxVqhvVKqMvJe,Kanye West,7
çıkmaz sokak,5,VULTURES PACK,723277375632,28pcV1bRvJ8WoVDFcF2Rl9,"�$, Kanye West, Ty Dolla $ign",3
ahla wahda,1,Thandaza,4251353209596,2RwaFaBi6nvVUiT9RGbXRD,"Keinemusik, Alan Dixon, Arabic Piano",1
ahla wahda,2,Thandaza,4251353209589,6EJu5rECOfBSeHfVM3g6pm,"&ME, Rampa, Adam Port",1
ahla wahda,3,Times Are Changing,4260066225151,4YGTju8vgSfd7unczk8PsE,"Astrality, Thandi",1
ahla wahda,4,THANDAZA,6009553433901,4eI0ecsFIZByahFo2dwYaV,Nthabi Sings,1
ahla wahda,5,"Thandaza (feat. Bebucho Q Kuia, Naledi D, Nelly & Bruno Masemza)",5054197658563,01KQfrJ7VAIn8djKzejDrA,"Evstifller, Lau Silva",1
vultires,1,Shayef Taifek,5283023962943,2LIJNO9xyOP9VFuuLr4pGG,siilawy,1
vultires,2,SHADYXV,00602547130112,6wdSf72duVewXTqhYU3Z87,Various Artists,27
vultires,3,SHADYXV,00602547130211,689kTsR8XSNx8zyXhvQ6gB,Various Artists,27
vultires,4,18+,196699143217,0L7bvFe35z44sjRcfVQKf3,"5urati, Sohrab Mj, Shayan Yo",1
vultires,5,Shayef El Bahr (El Oudal Menssiye),3615933644169,2zw0PFEHrP5TWyUhuPYFde,Fairuz,9
Dark horse,1,SIN (DEMO),886447644058,1BLnTsQCQQn2JDXsR5rIIe,Labrinth,1
Dark horse,2,Sin City Slowed,5063535513907,0RjvFG72jN7F9eqGrleEGH,scarlett2000,1
Dark horse,3,Labyrinth,669158522378,559TEEiIEnnmiuTsQP0j8C,Kraddy,5
Dark horse,4,Misbehaving,886446751917,5fjHiq9unc4EnABB8VyfVc,Labrinth,1
Dark horse,5,Dr Kobushi's Labyrinthine Laboratory (Original Soundtrack),198001912733,52lITvyY4oXJOPadhHOFFL,Fearofdark,26
vultires,1,Shayef Taifek,5283023962943,2LIJNO9xyOP9VFuuLr4pGG,siilawy,1
vultires,2,SHADYXV,00602547130112,6wdSf72duVewXTqhYU3Z87,Various Artists,27
vultires,3,SHADYXV,00602547130211,689kTsR8XSNx8zyXhvQ6gB,Various Artists,27
vultires,4,18+,196699143217,0L7bvFe35z44sjRcfVQKf3,"5urati, Sohrab Mj, Shayan Yo",1
vultires,5,Shayef El Bahr (El Oudal Menssiye),3615933644169,2zw0PFEHrP5TWyUhuPYFde,Fairuz,9
vultires,1,Shayef Taifek,5283023962943,2LIJNO9xyOP9VFuuLr4pGG,siilawy,1
vultires,2,SHADYXV,00602547130112,6wdSf72duVewXTqhYU3Z87,Various Artists,27
vultires,3,SHADYXV,00602547130211,689kTsR8XSNx8zyXhvQ6gB,Various Artists,27
vultires,4,18+,196699143217,0L7bvFe35z44sjRcfVQKf3,"5urati, Sohrab Mj, Shayan Yo",1
vultires,5,Shayef El Bahr (El Oudal Menssiye),3615933644169,2zw0PFEHrP5TWyUhuPYFde,Fairuz,9
Dark horse,1,SIN (DEMO),886447644058,1BLnTsQCQQn2JDXsR5rIIe,Labrinth,1
Dark horse,2,Sin City Slowed,5063535513907,0RjvFG72jN7F9eqGrleEGH,scarlett2000,1
Dark horse,3,Labyrinth,669158522378,559TEEiIEnnmiuTsQP0j8C,Kraddy,5
Dark horse,4,Misbehaving,886446751917,5fjHiq9unc4EnABB8VyfVc,Labrinth,1
Dark horse,5,Dr Kobushi's Labyrinthine Laboratory (Original Soundtrack),198001912733,52lITvyY4oXJOPadhHOFFL,Fearofdark,26
vultires,1,Shayef Taifek,5283023962943,2LIJNO9xyOP9VFuuLr4pGG,siilawy,1
vultires,2,Counterfeit Arcade,609456372732,3OdykG7E7VoQwsG38E2Bux,Shayfer James,11
vultires,3,SHADYXV,00602547130211,689kTsR8XSNx8zyXhvQ6gB,Various Artists,27
vultires,4,18+,196699143217,0L7bvFe35z44sjRcfVQKf3,"5urati, Sohrab Mj, Shayan Yo",1
vultires,5,Shayef El Bahr (El Oudal Menssiye),3615933644169,2zw0PFEHrP5TWyUhuPYFde,Fairuz,9
Dark horse,1,SIN (DEMO),886447644058,1BLnTsQCQQn2JDXsR5rIIe,Labrinth,1
Dark horse,2,Labrys,859722731651,02tSK4V3xJtjAmgyZkM3iG,LABRYS,7
Dark horse,3,10:10,859777164619,3pyL2DyrsM2GrzAjrUwPYj,LABRYS,11
Dark horse,4,Sin City Slowed,5063535513907,0RjvFG72jN7F9eqGrleEGH,scarlett2000,1
