term,ranks,name,id,genres,followers,popularity
sin labry,1,Shady Moon,2urobxol2zYHXOUJXDh8n4,aesthetic rap,132631,55
sin labry,2,Shay Lyriq,0A2Z6VOBgVzRxEtum8WLsx,Unknown,6,25
sin labry,3,Shafer,2XFGWRzZliNyPV6lacmo7h,Unknown,3730,28
sin labry,4,Shayea,3QNGoF6VzVNnkpjJDT3NHq,persian hip hop,573983,50
sin labry,5,AL SHAMI,597R32EkdYgLMf1tQcHF8k,syrian hip hop,331088,59
Crazy j.tajor,1,LABRYS,1Ch6kGftOC8brjjXQwPCx9,norman ok indie,3356,24
Crazy j.tajor,2,Labrys,74SWiaEffOygBklq87QHcN,Unknown,22,12
Crazy j.tajor,3,sin,4QxfUP9WMDIvnZ4UK2Osiu,Unknown,1578,15
Crazy j.tajor,4,S.I.N Rabbit,6ZMR3nKsaTzJV9lbVrzUOA,Unknown,5587,16
Crazy j.tajor,5,Labrynthine,3Ybjh1qq318oIdY7MJsrCd,Unknown,375,3
Cassie me,1,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,"chicago rap, hip hop, rap",26168090,91
Cassie me,2,Vulture Love,021z3GxpIYc4ykwfHY5G5O,Unknown,1340,41
Cassie me,3,Them Crooked Vultures,4zYQWYmtimAEmI6WWEzGfO,"alternative metal, alternative rock, modern blues rock, modern rock, supergroup",587909,51
Cassie me,4,¥$,4xPQFgDA5M2xa0ZGo5iIsv,Unknown,649722,75
Cassie me,5,Vestron Vulture,0TdyFEXGty3cRKFCI1CJPr,synthwave,103599,53
Swanlake,1,Keinemusik,26WKgv73kRHD0gEDKD1i8j,melodic house,238154,75
Swanlake,2,THANDAZANI,57g4DVeV5rPsCFmjPO8ye7,maskandi,4033,38
Swanlake,3,Thabza De Soul,3FCL7AQnXR5pCWrceDPFhH,Unknown,2036,38
Swanlake,4,Thandazani,4LloVzit3Pb4kIvFggZlGt,Unknown,54,13
Swanlake,5,THEMBA,64tzIMKX4Npx37YLcNZZNC,afro house,38107,52
sin labry,1,Shay Lyriq,0A2Z6VOBgVzRxEtum8WLsx,Unknown,7,24
sin labry,2,Shafer,2XFGWRzZliNyPV6lacmo7h,Unknown,3743,28
sin labry,3,Shayea,3QNGoF6VzVNnkpjJDT3NHq,persian hip hop,577336,50
sin labry,4,AL SHAMI,597R32EkdYgLMf1tQcHF8k,syrian hip hop,341539,59
sin labry,5,Shayhan,5bqTDHeDDzXWCdN4bKtVbz,Unknown,7991,29
Crazy j.tajor,1,LABRYS,1Ch6kGftOC8brjjXQwPCx9,norman ok indie,3374,25
Crazy j.tajor,2,Labrys,74SWiaEffOygBklq87QHcN,Unknown,22,12
Crazy j.tajor,3,S.I.N Rabbit,6ZMR3nKsaTzJV9lbVrzUOA,Unknown,5623,16
Crazy j.tajor,4,Labrynthine,3Ybjh1qq318oIdY7MJsrCd,Unknown,381,3
Crazy j.tajor,5,Mike Labyrinth,0bC0vLsYcjKf6S4TBet1Nj,Unknown,352,4
sin labry,1,Shay Lyriq,0A2Z6VOBgVzRxEtum8WLsx,Unknown,7,24
sin labry,2,Shafer,2XFGWRzZliNyPV6lacmo7h,Unknown,3743,28
sin labry,3,Shayea,3QNGoF6VzVNnkpjJDT3NHq,persian hip hop,577336,50
sin labry,4,AL SHAMI,597R32EkdYgLMf1tQcHF8k,syrian hip hop,341539,59
sin labry,5,Shayhan,5bqTDHeDDzXWCdN4bKtVbz,Unknown,7991,29
sin labry,1,Shay Lyriq,0A2Z6VOBgVzRxEtum8WLsx,Unknown,7,24
sin labry,2,Shafer,2XFGWRzZliNyPV6lacmo7h,Unknown,3743,28
sin labry,3,Shayea,3QNGoF6VzVNnkpjJDT3NHq,persian hip hop,577336,50
sin labry,4,AL SHAMI,597R32EkdYgLMf1tQcHF8k,syrian hip hop,341539,59
sin labry,5,Shayhan,5bqTDHeDDzXWCdN4bKtVbz,Unknown,7991,29
Crazy j.tajor,1,LABRYS,1Ch6kGftOC8brjjXQwPCx9,norman ok indie,3374,25
Crazy j.tajor,2,Labrys,74SWiaEffOygBklq87QHcN,Unknown,22,12
Crazy j.tajor,3,S.I.N Rabbit,6ZMR3nKsaTzJV9lbVrzUOA,Unknown,5623,16
Crazy j.tajor,4,Labrynthine,3Ybjh1qq318oIdY7MJsrCd,Unknown,381,3
Crazy j.tajor,5,Mike Labyrinth,0bC0vLsYcjKf6S4TBet1Nj,Unknown,352,4
sin labry,1,Shay Lyriq,0A2Z6VOBgVzRxEtum8WLsx,Unknown,7,24
sin labry,2,Shafer,2XFGWRzZliNyPV6lacmo7h,Unknown,3743,28
sin labry,3,Shayea,3QNGoF6VzVNnkpjJDT3NHq,persian hip hop,577336,50
sin labry,4,AL SHAMI,597R32EkdYgLMf1tQcHF8k,syrian hip hop,341539,59
sin labry,5,Shayhan,5bqTDHeDDzXWCdN4bKtVbz,Unknown,7991,29
Crazy j.tajor,1,LABRYS,1Ch6kGftOC8brjjXQwPCx9,norman ok indie,3374,25
Crazy j.tajor,2,Labrys,74SWiaEffOygBklq87QHcN,Unknown,22,12
Crazy j.tajor,3,S.I.N Rabbit,6ZMR3nKsaTzJV9lbVrzUOA,Unknown,5623,16
Crazy j.tajor,4,Labrynthine,3Ybjh1qq318oIdY7MJsrCd,Unknown,381,3
Crazy j.tajor,5,Mike Labyrinth,0bC0vLsYcjKf6S4TBet1Nj,Unknown,352,4
sin labry,1,Shay Lyriq,0A2Z6VOBgVzRxEtum8WLsx,Unknown,7,24
sin labry,2,Shafer,2XFGWRzZliNyPV6lacmo7h,Unknown,3743,28
sin labry,3,Shayea,3QNGoF6VzVNnkpjJDT3NHq,persian hip hop,577336,50
sin labry,4,AL SHAMI,597R32EkdYgLMf1tQcHF8k,syrian hip hop,341539,59
sin labry,5,Shayhan,5bqTDHeDDzXWCdN4bKtVbz,Unknown,7991,29
Crazy j.tajor,1,LABRYS,1Ch6kGftOC8brjjXQwPCx9,norman ok indie,3374,25
Crazy j.tajor,2,Labrys,74SWiaEffOygBklq87QHcN,Unknown,22,12
