term,ranks,name,isrc,id,artist,album,release_date,popularity
Shayef ta,1,Shayef Taifek,LBA0H2004133,1k20CsNjq0xPbkmnZbtUEV,siilawy,Shayef Taifek,2022-03-18,51
Shayef ta,2,Amrikkka,QZFYW2115586,55LLrj5aARUqCLoDEwAp7v,"Shabjdeed, Al Nather",Amrikkka,2020-12-30,49
Shayef ta,3,Shayef El Bahr,QZ4UU1709444,4M3iTGnvMFsF5KVpGqRudt,Fairuz,Shayef El Bahr (El Oudal Menssiye),1988-01-01,45
Shayef ta,4,Inn Ann,QZHN32131378,4FTGTibd0V8qZOTMwx7lG7,"Daboor, Shabjdeed",El Gad3ana,2021-04-30,50
Shayef ta,5,Shayef El Bahr,QZ4UU1709444,1jhp3vVPovQUknmzNFoeY4,Fairuz,"Fairouz World, Pt. 1",2018-09-28,40
thandaza,1,Everything,USSM12302197,7gzAwNowFl5ymL5ejbqQbn,Labrinth,Ends & Begins,2023-04-28,39
thandaza,2,Fun At The Alley,USQX92201759,0njtFgDso6x7h9aZ8SPNET,Labrinth,EUPHORIA SEASON 2 OFFICIAL SCORE (FROM THE HBO ORIGINAL SERIES),2022-04-22,38
thandaza,3,Labyrinthian,US3H40810803,4v30YDKhHxcKnvLVEYa4uX,Misery Signals,Controller,2008-07-22,25
thandaza,4,So Sad,TCAGH2254942,0PoFEjBRzeCyjv8uvFzH7a,LABRYS,10:10,2024-02-02,11
thandaza,5,In Motion,TCAHJ2309094,0cYTkOgfnw7FOkpASbDetD,LABRYS,10:10,2024-02-02,14
Talk dirt,1,Vultures,USSM10603630,1IdTIzkTK6CcpKKgMUGbg7,John Mayer,Continuum,2006-09-11,58
Talk dirt,2,FUK SUMN,QZ7XS2400010,4eIYnlcgI2chjQBuW1VRr7,"¥$, Kanye West, Ty Dolla $ign",VULTURES 1,2024-02-09,69
Talk dirt,3,CARNIVAL,QZ7XS2400012,4OssqCixV2Xsxd43wMIQyS,"¥$, Kanye West, Ty Dolla $ign",VULTURES 1,2024-02-09,78
Talk dirt,4,"Vultures - Live at the Nokia Theatre, Los Angeles, CA - December 2007",USSM10801211,2pNllR1aL6MFh1npf0376T,John Mayer,Where the Light Is: John Mayer Live In Los Angeles,2008,45
Talk dirt,5,VULTURES,QZ7XS2400011,0Cz12ejDQ5L1c1f4sVck4n,"¥$, Kanye West, Ty Dolla $ign",VULTURES 1,2024-02-09,57
Stray,1,Thandaza,DEEC33501383,4x6jx7AeSyE7PlQTdCjIJs,"&ME, Rampa, Adam Port, Alan Dixon, Keinemusik, Arabic Piano",Thandaza,2024-03-15,66
Stray,2,Thandaza,DEEC33501383,48cPrTt0TLRsXQCLxQWwc7,"&ME, Rampa, Adam Port, Alan Dixon, Keinemusik, Arabic Piano",Thandaza,2024-03-15,56
Stray,3,Thanda,ZAL6V2000002,5zs43kBHRKakmbUyvbtFlD,"Caiiro, Pixie L",Agora,2020-10-15,38
Stray,4,Move,DEEC33501508,1BJJbSX6muJVF2AK7uH1x4,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",Move,2024-06-07,90
Stray,5,"Thandaza (feat. Bebucho Q Kuia, Naledi D, Nelly & Bruno Masemza)",ZA99S2200002,1CaWgfLL5TVyyCyDLbs7mK,"Evstifller, Lau Silva, Bebucho Q Kuia, Bruno Masemza, Naledi D, Nelly","Thandaza (feat. Bebucho Q Kuia, Naledi D, Nelly & Bruno Masemza)",2023-07-21,15
Shayef ta,1,Shayef Taifek,LBA0H2004133,1k20CsNjq0xPbkmnZbtUEV,siilawy,Shayef Taifek,2022-03-18,51
Shayef ta,2,Shayef El Bahr,QZ4UU1709444,4M3iTGnvMFsF5KVpGqRudt,Fairuz,Shayef El Bahr (El Oudal Menssiye),1988-01-01,45
Shayef ta,3,Amrikkka,QZFYW2115586,55LLrj5aARUqCLoDEwAp7v,"Shabjdeed, Al Nather",Amrikkka,2020-12-30,49
Shayef ta,4,Inn Ann,QZHN32131378,4FTGTibd0V8qZOTMwx7lG7,"Daboor, Shabjdeed",El Gad3ana,2021-04-30,49
Shayef ta,5,Shayef El Bahr,QZ4UU1709444,1jhp3vVPovQUknmzNFoeY4,Fairuz,"Fairouz World, Pt. 1",2018-09-28,39
thandaza,1,Formula,USQX91902497,6EtKlIQmGPB9SX8UjDJG5s,Labrinth,Euphoria (Original Score from the HBO Series),2019-10-04,80
thandaza,2,Kill For Your Love,USSM12106349,3VPmBxNTm36Fmz8lSU4dgA,Labrinth,Ends & Begins,2023-04-28,50
thandaza,3,I'm Tired - Long Version,USQX92201741,7aECBTWeMSjTfJgUl34Y1G,Labrinth,EUPHORIA SEASON 2 OFFICIAL SCORE (FROM THE HBO ORIGINAL SERIES),2022-04-22,45
